ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Magic Xbow Quiv	mxbq	xboq	quiv	0	1	rarm	larm		xbow	0	1	0	0	1	1	0	0	0	25	0	40	0	0	3			0							misc	0
Chipped Gem	gem0	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Flawed Gem	gem1	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Standard Gem	gem2	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Flawless Gem	gem3	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Perfect Gem	gem4	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Amethyst	gema	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Diamond	gemd	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Emerald	geme	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Ruby	gemr	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Sapphire	gems	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Topaz	gemt	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Skull	gemz	gem		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Obsidian	gemo	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	3			0							misc	0
Merc Equip	helm	armo	merc	1	1	head	head			0	0	0	0		1	0	0	2	25	2	40	3	0	3			0							armo	0
Swords and Knives	blde	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Spears and Polearms	sppl	mele		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Bows and Xbows	bxbw	misl		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
2H Axes	2ha	2acs		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
2H Clubs	2hc	2acs		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
2H Swords	2hw	2acs		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
1H Axes	1ha	1acs		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
1H Clubs	1hc	1acs		0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
1H Swords	1hs	1acs	swob	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
2hacs	2acs	weap	mele	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
1hacs	1acs	weap	mele	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Scepters, swords, wands and Orbs	swob	mele	weap	0	0					0	0	0	0		1	0	0	0	25	0	40	0	0	3			0								0
Orb cubing	orbx	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0							misc	0
Valor	rval	misc		0	0					0	0	0	0			1	0	0	25	0	40	0	0	1			0							misc	0
Gem Stack	gemx	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	1			0							misc	0
Rune Stack	runx	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	1			0							misc	0
Key Stack	keyx	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	1			0							misc	0
Organ Stack	ubrx	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	1			0							misc	0
Essence Stack	escx	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	1			0							misc	0
Crafting Stack	crfx	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	1			0							misc	0
Core Stack	corx	misc		0	0					0	0	0	1			1	0	0	25	0	40	0	0	1			0							misc	0
Biddings	bidd																																		0
Strong Bidding	snb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Sturdy Bidding	snb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Burly Bidding	snb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Agile Bidding	dxb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Nimble Bidding	dxb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Dexterous Bidding	dxb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Vital Bidding	vib1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Vibrous Bidding	vib2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Enduring Bidding	vib3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Energetic Bidding	enb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Bright Bidding	enb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Spirited Bidding	enb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lively Bidding	lib1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Splendid Bidding	lib2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Vibrant Bidding	lib3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Spirited Bidding	mab1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Passionate Bidding	mab2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Vidid Bidding	mab3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lucky Bidding	mfb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Fortunate Bidding	mfb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Blessed BIdding	mfb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Greedy Bidding	gob1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Gluttenous Bidding	gob2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Insatiable Bidding	gob3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Accurate Bidding	arb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Precise BIdding	arb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Exact Bidding	arb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Powerful Bidding	dmb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Harmful Bidding	dmb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Forceful Bidding	dmb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Dodgy Bidding	hrb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Avoiding Bidding	hrb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Evading Bidding	hrb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Defending Bidding	acb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Guarding Bidding	acb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Shielding Bidding	acb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Insulating Bidding	rfb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Enclosed Bidding	rfb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Heatproof Bidding	rfb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Chunky Bidding	rcb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Crystal Bidding	rcb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Diamond Bidding	rcb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Grounded Bidding	rlb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Conductive Bidding	rlb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Arrested Bidding	rlb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Neutralizing Bidding	rpb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Antitoxic Bidding	rpb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Remedying Bidding	rpb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Scintillating Bidding	rab1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Prismatic Bidding	rab2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Chromatic Bidding	rab3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Quick Bidding	rwb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Swift Bidding	rwb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Speedy Bidding	rwb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Warm Bidding	dfb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Hot Bidding	dfb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Scalding Bidding	dfb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Cold Bidding	dcb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Icy Bidding	dcb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Freezing Bidding	dcb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Noisy Bidding	dlb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Eerie Bidding	dlb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Electrical Bidding	dlb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Uneasy Bidding	dpb1	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Sick Bidding	dpb2	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Nauseating Bidding	dpb3	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Skillful Bidding	skbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Javelin Bidding	nsbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Bow Bidding	nbbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Passive Bidding	ncbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Traps Bidding	atbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Martial Arts Bidding	ambi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Shadow Bidding	asbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Combat Bidding	bcbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Mastery Bidding	bmbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Warcry Bidding	bwbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Elemental Bidding	pcbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Summon Bidding	pdbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Shapeshifter Bidding	pobi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Summon Bidding	sfbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Bone Bidding	slbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Curse Bidding	scbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Combat Bidding	debi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Defensive Bidding	dsbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Offensive Bidding	dhbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Fire Bidding	ajbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Lightning Bidding	abbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Cold Bidding	apbi	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
Blood Bidding stat	snbg	bidd		0	0					0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
