index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	worldevent	*eol
Cathan's Mesh	26	Cathan's Traps	chn	Chain Mail	7	15	11	dgrn	dgrn						5	2500	2	ac		15	15	ease		-50	-50	move3		20	20																									thorns/lvl	16							res-fire		30	30																														0
Cathan's Visage	27	Cathan's Traps	msk	Mask	7	15	11	dgrn	dgrn						5	2500	2	mana		20	20	res-cold		25	25	manasteal		3	5																									ac/lvl	16																																								0
Cathan's Sigil	28	Cathan's Traps	amu	Amulet	7	15	11	dgrn	dgrn						5	2500	2	balance1		10	10	thorns/lvl	16			res-ltng		20	30																									att		50	50					mag%		25	25																														0
Cathan's Seal	29	Cathan's Traps	rin	Ring	7	15	11	dgrn	dgrn						5	2500	2	lifesteal		6	6	red-dmg		2	2																													str		10	10													dmg-max		10	10																						0
Tancred's Crowbill	30	Tancred's Battlegear	gax	Great Axe	7	27	20	dgld	dgld						5	2500	2	att		100	175	dmg%		60	80	splash	362	100	1	mana		20	20	att-skill	Firestorm	20	12																	swing2		20	20					att-skill	Charged Bolt	20	12																														0
Tancred's Spine	31	Tancred's Battlegear	ful	Full Plate Mail	7	27	20	dgld	dgld						5	2500	2	hp		40	40	str		15	15	dmg%		20	30																									ac/lvl	48																																								0
Tancred's Hobnails	32	Tancred's Battlegear	lbt	Boots	7	27	20	dgld	dgld						5	2500	2	regen-stam		25	25	dex		10	20	red-dmg%		5	10																									move3		30	30					str		10	10																														0
Tancred's Weird	33	Tancred's Battlegear	amu	Amulet	7	27	20	dgld	dgld						5	2500	2	red-dmg		3	6	red-mag		2	4																													mag%		78	78					att		160	160																														0
Tancred's Skull	34	Tancred's Battlegear	bhm	Bone Helm	7	27	20	dgld	dgld						5	2500	2	dmg%		20	30	att		80	80																													res-all		10	10																																						0
Sigon's Gage	35	Sigon's Complete Steel	hgl	Gauntlets	7	9	6	whit	whit						5	2500	2	str		10	10	att		20	20																													swing3		30	30																																						0
Sigon's Visor	36	Sigon's Complete Steel	ghm	Great Helm	7	9	6	whit	whit						5	2500	2	mana		30	30	ac		25	25																													att/lvl	16																																								0
Sigon's Shelter	37	Sigon's Complete Steel	gth	Gothic Plate	7	9	6	whit	whit						5	2500	2	ac%		25	25	res-ltng		30	30																													thorns		200	200																																						0
Sigon's Sabot	38	Sigon's Complete Steel	hbt	Greaves	7	9	6	whit	whit						5	2500	2	move2		20	20	res-cold		40	40																													att		50	50					mag%		50	50																														0
Sigon's Wrap	39	Sigon's Complete Steel	hbl	Plated Belt	7	9	6	whit	whit						5	2500	2	res-fire		20	20	hp		20	20																													ac/lvl	16																																								0
Sigon's Guard	40	Sigon's Complete Steel	tow	Tower Shield	7	9	6	whit	whit						5	2500	2	allskills		1	1	block		20	20	res-cold		30	30																																																																		0
Infernal Cranium	41	Infernal Tools	cap	Cap	7	7	5	lyel	lyel						5	2500	2	res-all		10	10	dmg-to-mana		20	20																													ac/lvl	32																																								0
Infernal Torch	42	Infernal Tools	gwn	Grim Wand	7	7	5	lyel	lyel						5	2500	2	dmg-min		8	8	nec		1	1	splash	362	100	1																									att/lvl	20							oskill	73	2	2																														0
Infernal Sign	43	Infernal Tools	tbl	Heavy Belt	7	7	5	lyel	lyel						5	2500	2	ac		25	25	hp		20	20																													res-pois		45	45					nofreeze		1	1																														0
Berserker's Headgear	44	Berserker's Garb	hlm	Helm	7	5	3	dred	dred						5	2500	2	ac		15	15	res-fire		25	25																													att/lvl	16							bar		1	1																														0
Berserker's Hauberk	45	Berserker's Garb	spl	Splint Mail	7	5	3	dred	dred						5	2500	2	red-mag		2	2	bar		1	1																													ac/lvl	36							dmg%/lvl	24																																0
Berserker's Hatchet	46	Berserker's Garb	tax	Throwing Axe	7	5	3	dred	dred						5	2500	2	att%		30	30	manasteal		5	5	splash	362	100	1																									dmg%		50	50					bar		1	1																														0
Death's Hand	47	Death's Disguise	lgl	Leather Gloves	7	8	6	lred	lred						5	2500	2	res-pois		50	50	res-pois-len		75	75																													swing3		30	30					dmg/lvl	4																																0
Death's Guard	48	Death's Disguise	lbl	Sash	7	8	6	lred	lred						5	2500	2	ac		20	20	nofreeze		1	1																													res-all		15	15																																						0
Death's Touch	49	Death's Disguise	wsd	War Sword	7	8	6	lred	lred						5	2500	2	dmg%		25	25	lifesteal		4	4	splash	362	100	1																									dmg-cold	75	25	75					reanimate	1	15	15																														0
Angelic Sickle	50	Angelical Raiment	crs	Crystal Sword	7	17	12	lgry	lgry						5	2500	2	att		75	75	dmg-undead		250	250	splash	362	100	1																									dmg%		75	75					swing3		30	30					hit-skill	Fist of the Heavens	10	1																						0
Angelic Mantle	51	Angelical Raiment	rng	Ring Mail	7	17	12	lgry	lgry						5	2500	2	red-dmg		3	3	ac%		40	40	dmg-undead		50	80																									ac		150	150					res-fire		50	50																														0
Angelic Halo	52	Angelical Raiment	rin	Ring	3	17	12	lgry	lgry						5	2500	2	regen		6	6	hp		20	20																													att/lvl	24							mag%		50	50																														0
Angelic Wings	53	Angelical Raiment	amu	Amulet	7	17	12	lgry	lgry						5	2500	2	light		3	3	dmg-to-mana		20	20																													hp		75	75					allskills		1	1																														0
Arctic Horn	54	Arctic Gear	swb	Short War Bow	7	3	2	lgld	lgld						5	2500	2	att%		20	20	dmg%		50	50	dmg-cold/lvl	16																											att/lvl	16							dmg-cold	75	20	30																														0
Arctic Furs	55	Arctic Gear	qui	Quilted Armor	7	3	2	lgld	lgld						5	2500	2	ac%		275	325	res-all		10	10																													ac/lvl	24							res-cold		15	15																														0
Arctic Binding	56	Arctic Gear	vbl	Light Belt	7	3	2	lgld	lgld						5	2500	2	res-cold		40	40	ac		30	30																													mag%		40	40					res-cold		10	10																														0
Arctic Mitts	57	Arctic Gear	tgl	Light Gauntlets	7	3	2	lgld	lgld						5	2500	2	hp		20	20	swing1		10	10																													att		50	50	pierce		25	25	dex		10	10																														0
Arcanna's Sign	58	Arcanna's Tricks	amu	Amulet	1	20	15	blac	blac						5	2500	2	mana		35	35	regen-mana		20	20	move2		20	20																									mag%		50	50	dmg-to-mana		25	25	res-fire		30	30																														0
Arcanna's Deathwand	59	Arcanna's Tricks	wst	War Staff	7	20	15	blac	blac						5	2500	2	deadly		25	50	dmg%		150	175	splash	362	100	1	cast2		30	30	fire-max		10	20																	mana		75	75	swing2		20	20	regen-mana		20	20					swing2		40	40																						0
Arcanna's Head	60	Arcanna's Tricks	skp	Skull Cap	7	20	15	blac	blac						5	2500	2	regen		10	14	thorns		120	120	regen-mana		20	20	mana		30	40																					ac/lvl	24							res-ltng		25	25					skill	52	3	4																						0
Arcanna's Flesh	61	Arcanna's Tricks	ltp	Light Plate	7	20	15	blac	blac						5	2500	2	light		2	2	red-dmg		3	6	cast2		10	10																									ac		100	100					enr		20	20					regen-mana		20	20	allskills		1	1																		0
Expansion																																																																																															0
Natalya's Totem	62	Natalya's Odium	xh9	Grim Helm	7	22	59	dgry	dgry						5	5000		ac		135	175	dex		25	30	str		15	20	res-all		10	20	red-mag		3	6																																																										0
Natalya's Mark	63	Natalya's Odium	7qr	Scissors Suwayyah	7	22	61	dgry	dgry						5	5000		swing3		40	40	dmg%		200	250	swing2		20	20	dmg-cold	100	150	150	dmg-fire		96	136	dmg-undead		200	250	dmg-demon		200	250					splash	362	100	1									reduce-ac		40	40																														0
Natalya's Shadow	64	Natalya's Odium	ucl	Loricated Mail	7	22	63	dgry	dgry						5	5000		ac		150	225	hp/lvl	8			skilltab	19	2	3	res-pois-len		75	75	res-pois		25	25	sock		2	3																																																						0
Natalya's Soul	65	Natalya's Odium	xmb	Mesh Boots	7	22	25	dgry	dgry						5	5000		ac		75	125	move3		40	40	regen-stam/lvl	2			dur		50	50	res-cold		15	25	res-ltng		15	25																																																						0
Aldur's Stony Gaze	66	Aldur's Watchtower	dr8	Hunter's Guise	7	29	36	oran	oran						5	5000	2	ac		90	90	regen-mana		17	17	balance3		25	25	res-cold		40	50	skilltab	15	2	2	dru		1	2													enr		15	15					enr		15	15					enr		15	15																						0
Aldur's Deception	67	Aldur's Watchtower	uul	Shadow Plate	7	29	66	oran	oran						5	5000	2	ac		300	300	skilltab	16	2	2	str		20	25	dex		15	20	res-ltng		40	50	ease		-50	-50	skilltab	17	2	2									vit		15	15					vit		15	15					vit		15	15																						0
Aldur's Gauntlet	68	Aldur's Watchtower	9mt	Jagged Star	7	29	42	oran	oran						5	5000	2	dmg-norm		120	130	cast2		30	30	lifesteal		10	10	swing3		45	45	dmg-demon		200	250	manasteal		5	5	sock		3	3	dmg-undead		100	200	splash	362	100	1	str		15	15					str		15	15					str		15	15																						0
Aldur's Advance	69	Aldur's Watchtower	xtb	Battle Boots	7	29	45	oran	oran						5	5000	2	rep-dur	25			regen-stam		32	32	hp		50	50	dmg-to-mana		10	10	move3		40	40	stam		180	180	res-fire		40	50									dex		15	15					dex		15	15					dex		15	15																						0
Immortal King's Will	70	Immortal King	ba5	Avenger Guard	7	37	47	lgry	lgry						5	5000		ac		125	125	gold%		37	67	skilltab	14	2	2	light		4	4	mag%		25	40	sock		2	2																					red-dmg%		8	8																														0
Immortal King's Soul Cage	71	Immortal King	uar	Sacred Armor	7	37	66	lgry	lgry						5	5000	2	ac		400	550	gethit-skill	52	5	28	skilltab	12	3	4	res-pois		50	60																					balance2		25	25					res-cold		40	40					res-fire		40	40					res-ltng		40	40					ac%		50	50						0
Immortal King's Detail	72	Immortal King	zhb	War Belt	7	37	29	lgry	lgry						5	5000	2	ac		28	56	res-fire		28	35	res-ltng		30	35	str		25	25																					ac		105	105					balance2		25	25					ac%		100	100					red-dmg%		20	20					skilltab	13	2	2						0
Immortal King's Forge	73	Immortal King	xhg	War Gauntlets	7	37	30	lgry	lgry						5	5000	2	ac		65	90	str		20	20	dex		20	20	gethit-skill	38	12	24																					swing2		25	25					ac		120	120					lifesteal		10	10					manasteal		10	10					freeze		2	2						0
Immortal King's Pillar	74	Immortal King	xhb	War Boots	7	37	31	lgry	lgry						5	5000	2	ac		50	85	move3		40	40	att		110	140	hp		44	64																					mag%		25	25					skilltab	12	2	2					ac		160	160					nofreeze		1	1														0
Immortal King's Stone Crusher	75	Immortal King	7m7	Ogre Maul	7	37	66	lgry	lgry						5	5000	2	rep-dur	25			swing3		45	45	dmg-demon		200	250	dmg-undead		250	300	crush		35	40	dmg%		200	250	splash	362	100	1									dmg-fire		211	397					dmg-ltng		7	477					dmg-cold	150	127	364					dmg-pois	50	3490	3490					dmg-mag		250	361						0
Tal Rasha's Fire-Spun Cloth	76	Tal Rasha's Wrappings	zmb	Mesh Belt	7	26	53	dpur	dpur						5	5000	2	ease		-20	-20	mana		30	40	dex		20	20	dmg-to-mana		37	37	mag%		15	20																	ac		60	60					cast2		10	10																														0
Tal Rasha's Adjudication	77	Tal Rasha's Wrappings	amu	Amulet	1	26	67	dpur	dpur						5	5000	2	res-ltng		33	33	sor		2	2	hp		50	60	dmg-ltng		3	32	mana		45	52																																	cast2		10	10																						0
Tal Rasha's Lidless Eye	78	Tal Rasha's Wrappings	oba	Swirling Crystal	7	26	65	dpur	dpur						5	5000	2	hp		57	57	mana		77	77	enr		10	10	cast3		30	30	skill	Fire Mastery	1	2	skill	Lightning Mastery	1	2	skill	Cold Mastery	1	2									sor		1	1					pierce-fire		15	15					pierce-ltng		15	15					extra-cold		15	15														0
Tal Rasha's Howling Wind	79	Tal Rasha's Wrappings	uth	Lacquered Plate	7	26	61	dpur	dpur						5	5000	2	ease		-60	-60	red-mag		10	17	mag%		75	90	res-cold		40	40	res-fire		40	40	res-ltng		40	40	ac		400	400									cast2		10	10																																						0
Tal Rasha's Horadric Crest	80	Tal Rasha's Wrappings	xsk	Death Mask	7	26	56	dpur	dpur						5	5000		mana		30	35	hp		55	65	ac		45	45	res-all		15	20	lifesteal		8	10	manasteal		8	10																																																						0
Griswold's Valor	81	Griswold's Legacy	urn	Corona	7	44	59	dgld	dgld						5	5000	2	ac%		50	75	abs-cold/lvl		2	2	sock		2	3	ease		-40	-40	mag%		35	50	res-all		20	25													skilltab	10	2	2																																						0
Griswold's Heart	82	Griswold's Legacy	xar	Ornate Plate	7	44	45	dgld	dgld						5	5000		ac		500	500	pal		2	2	sock		2	3	str		15	20	ease		-40	-40																	cast2		30	30																																						0
Griswolds's Redemption	83	Griswold's Legacy	7ws	Caduceus	7	44	53	dgld	dgld						5	5000	2	dmg%		200	240	swing2		40	40	dmg-undead		200	200	ease		-20	-20	sock		3	4	splash	362	100	1													skilltab	9	2	2					dmg-norm		10	20					dmg-norm		10	20																						0
Griswold's Honor	84	Griswold's Legacy	paf	Vortex Shield	7	44	58	dgld	dgld						5	5000		ac		108	108	sock		2	3	block2		65	65	block		20	20	res-all		40	50	cast2		35	35																																																						0
Trang-Oul's Guise	85	Trang-Oul's Avatar	uh9	Bone Visage	7	32	65	dgld	dgld						5	5000		ac		80	100	balance2		25	25	thorns		420	620	mana		150	150	regen		20	30																																																										0
Trang-Oul's Scales	86	Trang-Oul's Avatar	xul	Chaos Armor	7	32	49	dyel	dyel						5	5000	2	ease		-40	-40	ac-miss		100	100	res-pois		40	40	skilltab	8	2	2	move3		40	40	ac%		150	150																					res-ltng		50	50													red-dmg%		25	25														0
Trang-Oul's Wing	87	Trang-Oul's Avatar	ne9	Cantor Trophy	7	32	54	dyel	dyel						5	5000	2	ac		125	125	str		25	30	dex		15	20	res-fire		38	45	block		30	30	res-pois		40	40	skilltab	7	2	2																	pierce-pois		25	25					cast2		30	30																						0
Trang-Oul's Claws	88	Trang-Oul's Avatar	xmg	Heavy Bracers	7	32	45	dyel	dyel						5	5000		ac		30	30	cast3		20	20	res-cold		30	30	skilltab	6	2	2	extra-pois		20	25																																	oskill	Meteor	20	20																						0
Trang-Oul's Girth	89	Trang-Oul's Avatar	utc	Troll Belt	7	32	47	dyel	dyel						5	5000	2	ac		75	100	stam		30	30	regen		10	20	hp		66	76	nofreeze		1	1	ease		-40	-40	mana		25	50																	res-cold		40	40																														0
M'avina's True Sight	90	M'avina's Battle Hymn	ci3	Diadem	7	21	59	whit	whit						5	5000	2	ac		150	150	regen		5	15	swing2		30	30	mana		25	45																					allskills		1	1					att%		50	50					res-all		25	25					extra-fire		15	15														0
M'avina's Embrace	91	M'avina's Battle Hymn	uld	Kraken Shell	7	21	60	whit	whit						5	5000	2	gethit-skill	55	10	13	ease		-30	-30	red-mag		5	12	ama		2	2	ac/lvl	32			ac		350	350																	move2		30	30	balance2		30	30																														0
M'avina's Icy Clutch	92	M'avina's Battle Hymn	xtg	Battle Gauntlets	7	21	32	whit	whit						5	5000	2	ac		45	50	dmg-cold	150	12	36	nofreeze		1	1	gold%		56	56	str		10	12	dex		15	20																													dmg-cold	100	131	252					extra-cold		15	15														0
M'avina's Tenet	93	M'avina's Battle Hymn	zvb	Sharkskin Belt	7	21	45	whit	whit						5	5000	2	ac		50	50	move2		20	20	manasteal		5	6	light		5	5																																					res-all		25	25					dmg-fire		150	250					extra-fire		15	15						0
M'avina's Caster	94	M'avina's Battle Hymn	amc	Grand Matron Bow	7	21	63	whit	whit						5	5000	2	dmg%		250	300	swing3		40	40	att		100	150																									dmg-mag		228	754					hit-skill	Nova	10	25					skilltab	0	2	2																						0
Telling of Beads	95	The Disciple	amu	Amulet	1	39	55	lblu	lblu						5	5000		res-pois		35	50	allskills		1	1	res-cold		18	18	thorns		240	300																													allskills		1	1																														0
Laying of Hands	96	The Disciple	ulg	Bramble Mitts	7	39	54	lblu	lblu						5	5000		ac		25	50	swing2		20	20	res-fire		45	50	dmg-demon		300	350	hit-skill	101	10	13																					dmg-pois	50	1127	1127																																		0
Rite of Passage	97	The Disciple	xlb	Demonhide Boots	7	39	29	lblu	lblu						5	5000		ac		25	25	move3		30	30	nofreeze		1	1	stam		15	25																									gold%		100	100																																		0
Spiritual Custodian	98	The Disciple	uui	Dusk Shroud	7	39	43	lblu	lblu						5	5000		ac		305	415	res-fire		24	34	gethit-skill	48	25	23	dmg-pois	50	2458	3482	dmg-undead		100	200																									res-all		20	20																														0
Credendum	99	The Disciple	umc	Mithril Coil	7	39	54	lblu	lblu						5	5000		ac		50	50	str		10	10	dex		10	10	res-all		15	15	balance2		20	20	mag%		10	15	red-mag		5	8	red.dmg		10	15																																														0
Dangoon's Teaching	100	Heaven's Brethren	7ma	Reinforced Mace	7	55	58								5	5000		dmg/lvl	12			swing3		40	40	hit-skill	44	23	31	fire-min		40	60	fire-max		70	100	splash	362	100	1	cast3		40	40																	allskills		2	2																														0
Heaven's Taebaek	101	Heaven's Brethren	uts	Ward	7	55	61								5	5000		ac		400	500	mana		100	120	res-ltng		25	30	thorns		380	560	rep-dur	25			block		25	25	block3		30	30	cast2		40	40													allskills		1	1																														0
Haemosu's Adament	102	Heaven's Brethren	xrs	Cuirass	7	55	44								5	5000		ac		750	1000	ac-miss		300	350	hp		80	100	ac-hth		350	400	ease		-20	-20	allskills		1	1													cast2		20	20																																						0
Ondal's Almighty	103	Heaven's Brethren	uhm	Spired Helm	7	55	60								5	5000		ac		100	150	ease		-15	-15	hit-skill	72	10	13	str		10	15	dex		15	20	balance3		24	24	allskills		1	2									cast2		20	20																																						0
Guillaume's Face	104	Orphan's Call	xhm	Winged Helm	7	41	34	lgry	lgry						5	5000		ac%		120	120	balance3		30	30	crush		35	35	deadly		15	15	str		15	15																																																										0
Wilhelm's Pride	105	Orphan's Call	ztb	Battle Belt	7	41	42	lgry	lgry						5	5000		ac%		75	75	manasteal		4	6	res-cold		10	20	lifesteal		4	6																					dmg-demon		75	75					dmg-demon		75	75																														0
Magnus' Skin	106	Orphan's Call	xvg	Sharkskin Gloves	7	41	37	lgry	lgry						5	5000		ac%		50	50	res-fire		15	15	swing2		20	20	light		3	3	att		100	100	pierce		20	20													dmg-undead		75	75					dmg-undead		75	75																														0
Wihtstan's Guard	107	Orphan's Call	xml	Round Shield	7	41	29	lgry	lgry						5	5000		ac%		175	175	block3		40	40	block		55	55	nofreeze		1	1	light		5	5																									dmg%		150	150																														0
Hwanin's Splendor	108	Hwanin's Majesty	xrn	Grand Crown	7	28	45								5	5000		regen		20	40	red-mag		10	10	res-cold		37	37	ac%		100	150	att		200	350																																																										0
Hwanin's Refuge	109	Hwanin's Majesty	xcl	Tigulated Mail	7	28	30								5	5000		ac		200	200	res-pois		27	27	hp		100	100	gethit-skill	42	20	9																					hit-skill	45	10	3																																						0
Hwanin's Seal	110	Hwanin's Majesty	mbl	Belt	7	28	35								5	5000		dmg-ltng		3	330	noheal		1	1	ac/lvl	12			dmg-to-mana		12	12	abs-ltng%		3	6																																																										0
Hwanin's Justice	111	Hwanin's Majesty	9vo	Bill	7	28	28								5	5000		att		330	330	rep-dur	25			hit-skill	45	10	3	swing3		40	40	dmg%		200	250	dmg-ltng		5	25	splash	362	100	1																	hit-skill	Static Field	20	16																														0
Sazabi's Cobalt Redeemer	112	Sazabi's Grand Tribute	7ls	Cryptic Sword	7	34	53	dblu	dblu						5	5000		dmg%		200	250	dmg-cold	50	125	175	swing3		40	40	dmg-demon		318	318	rep-dur	25			dex		15	15	str		5	5	splash	362	100	1	ethereal		1	1	heal-kill		7	14																																						0
Sazabi's Ghost Liberator	113	Sazabi's Grand Tribute	upl	Balrog Skin	7	34	47	dblu	dblu						5	5000		ac		400	400	balance3		30	30	str		25	25	att-demon		300	300	hp		50	75	dmg-demon		75	150													regen		30	30																																						0
Sazabi's Mental Sheath	114	Sazabi's Grand Tribute	xhl	Basinet	7	34	43	dblu	dblu						5	5000		ac		100	100	allskills		1	1	res-fire		15	20	res-ltng		15	20																					regen		15	15																																						0
Bul-Kathos' Sacred Charge	115	Bul-Kathos' Children	7gd	Colossus Blade	7	50	61	dgrn	dgrn						5	5000		crush		35	35	res-all		20	20	swing2		20	20	dmg%		275	375	dmg%		325	375	splash	362	100	1																																																						0
Bul-Kathos' Tribal Guardian	116	Bul-Kathos' Children	7fb	Colossal Sword	7	50	54	dgrn	dgrn						5	5000		res-cold		50	50	dmg-pois	50	768	768	swing2		20	20	str		20	20	dmg%		325	375	splash	362	100	1	deadly		20	20																																																		0
Bul-Kathos' Custodian	117	Bul-Kathos' Children	rin	Ring	2	50	69	dgrn	dgrn						5	5000	2	dmg%		20	30	att		100	100	res-ltng		15	20	red-dmg%		4	6																					nofreeze		1	1																																						0
Cow King's Horns	118	Cow King's Leathers	xap	War Hat	7	20	25								5	5000		ac		75	75	nofreeze		1	1	dmg-to-mana		35	35	thorns		100	100	allskills		1	1																																																										0
Cow King's Hide	119	Cow King's Leathers	stu	Studded Leather	7	20	18								5	5000		res-all		18	18	ac%		60	60	hp		30	30	gethit-skill	53	18	5																																																														0
Cow King's Hoofs	120	Cow King's Leathers	vbt	Heavy Boots	7	20	13								5	5000		ac		25	35	move3		30	30	mag%		25	25	dex		20	20	dmg-fire		25	35																																																										0
Naj's Puzzler	121	Naj's Ancient Set	6cs	Elder Staff	7	43	78								5	5000		enr		35	35	dmg%		150	150	charged	54	69	11	cast3		50	50	dmg-ltng		6	45	mana		70	70	allskills		1	1	splash	362	100	1																																														0
Naj's Light Plate	122	Naj's Ancient Set	ult	Hellforge Plate	7	43	71								5	5000		ease		-60	-60	hp		65	65	res-all		25	25	dmg-to-mana		45	45	allskills		1	1	ac		300	300													red-dmg		10	10	mana-kill		2	3																																		0
