description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
3 Healing Potions (Any) + 3 Mana Potions (Any)  + 1 Perfect Gem (Any) -> Rejuvenation Potion	1			0					7	"hpot,qty=3"	"mpot,qty=3"	gem4					rvs																																																																																							0
3 Rejuvenation Potions -> Full Rejuvenation Potion	1			0					3	"rvs,qty=3"							rvl																																																																																							0
1 Strangling Gas Potion + 1 Healing Potion (Any) -> Antidote Potion	1			0					2	gpl	hpot						yps																																																																																							0
QUIVERS	0																																																																																																							0
2 Arrows -> Bolts	1			0					2	"aqv,qty=2"							cqv																																																																																							0
2 Bolts -> Arrows	1			0					2	"cqv,qty=2"							aqv																																																																																							0
NORMAL WEAPONS	0																																																																																																							0
1 Axe (Any) + 1 Dagger (Any) -> Throwing Axe	1			0					2	axe	knif						"tax,nor"																																																																																							0
1 Spear (Any) + 1 Arrows -> Javelins	1			0					2	spea	aqv						"jav,nor"																																																																																							0
MAGIC JEWELRY CRAFTING	0																																																																																																							0
6 Perfect Gems (1 of each type) + 1 Magic Amulet -> Prismatic Amulet	1			0					7	"amu,mag"	gpv	gpy	gpb	gpg	gpr	gpw	"amu,mag,pre=331"	50																																																																																						0
1 Magic Ring + 1 Perfect Ruby + 1 Exploding Potion -> Garnet Ring	1			0					3	"rin,mag"	gpr	opm					"rin,mag,pre=372"	30																																																																																						0
1 Magic Ring + 1 Perfect Sapphire + 1 Thawing Potion -> Cobalt Ring	1			0					3	"rin,mag"	gpb	wms					"rin,mag,pre=353"	30																																																																																						0
1 Magic Ring + 1 Perfect Topaz + 1 Rejuvenation Potion -> Coral Ring	1			0					3	"rin,mag"	gpy	rvs					"rin,mag,pre=392"	30																																																																																						0
1 Magic Ring + 1 Perfect Emerald + 1 Antidote Potion -> Jade Ring	1			0					3	"rin,mag"	gpg	yps					"rin,mag,pre=412"	30																																																																																						0
1 Magic Shield + 1 Spiked Club + 2 Perfect Skulls -> Magic Shield of Spikes	1			0					4	"shld,mag"	"skz,qty=2"	spc					"usetype,mag,suf=162"	30		60																																																																																				0
4 Healing Potions (Any) + 1 Perfect Ruby + 1 Magic Sword -> Sword of the Leech	1			0					6	"swor,mag"	gpr	"hpot,qty=4"					"usetype,mag,suf=352"	30		60																																																																																				0
1 Perfect Diamond + 1 Kris + 1 Staff + 1 Belt -> Savage Polearm	1			0					4	kri	gpw	staf	belt				"pole,mag,pre=191"	50		60																																																																																				0
FLAWLESS SWITCH																																																																																																								0
Flawless Amethyst --> F Topaz	1			100					1	gzv																																				gly																																																										0
Flawless Topaz --> F Sapphire	1			100					1	gly																																				glb																																																										0
Flawless Sapphire --> F Emerald	1			100					1	glb																																				glg																																																										0
Flawless Emerald--> F Ruby	1			100					1	glg																																				glr																																																										0
Flawless Ruby --> F Diamond	1			100					1	glr																																				glw																																																										0
Flawless Diamond --> F Skull	1			100					1	glw																																				skl																																																										0
Flawless Skull --> F Amethyst	1			100					1	skl																																				gzv																																																										0
REROLL MAGIC	0																																																																																																							0
3 Magic Rings -> Magic Amulet	1			0					3	"rin,mag,qty=3"							"amu,mag"		75																																																																																					0
3 Magic Amulets -> Magic Ring	1			0					3	"amu,mag,qty=3"							"rin,mag"		75																																																																																					0
3 Perfect Gems (Any) + 1 Magic Item -> Re-rolled Magic Item	1			100					4	"any,mag"	"gem4,qty=3"						"usetype,mag"			100																																																																																				0
RANDOM AFFIX RARE CRAFTS	0																																																																																																							0
6 Perfect Skulls + 1 Rare Item -> 1 Low Quality Rare Item	1			0					7	"any,rar"	"skz,qty=6"						"usetype,rar"		40	40																																																																																				0
1 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> 1 High Quality Rare Item	1			0					3	"any,rar"	skz	The Stone of Jordan					"usetype,rar"		66	66																																																																																				0
REPAIR GEAR	0																																																																																																							0
1 Ort Rune + 1 Weapon -> Fully Repaired Weapon	1			100					2	"weap,noe"	r09						"useitem,rep,rch,qty=255"																																																																																							0
1 Ral Rune + 1 Armor -> Fully Repaired Armor	1			100					2	"armo,noe"	r08						"useitem,rep,rch,qty=255"																																																																																							0
REPAIR AND RECHARGE	0																																																																																																							0
1 Ort Rune + 1 Perfect Gem (Any) + 1 Weapon -> Fully Repaired and Recharged Weapon	0			100					3	"weap,noe"	r09	gem4					"useitem,rep,rch,qty=255"																																																																																							0
1 Ral Rune + 1 Perfect Gem (Any) + 1 Armor -> Fully Repaired and Recharged Armor	0			100					3	"armo,noe"	r08	gem4					"useitem,rep,rch,qty=255"																																																																																							0
NORMAL ITEM SOCKETING	0																																																																																																							0
1 Tal Rune + 1 Thul Rune + 1 Perfect Topaz + 1 Normal Torso Armor -> Socketed Torso Armor	1			100					4	"tors,nor,nos"	r07	r10	gpy				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Amn Rune + 1 Perfect Amethyst + 1 Normal Weapon -> Socketed Weapon	1			100					4	"weap,nor,nos"	r08	r11	gpv				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Sapphire + 1 Normal Helm -> Socketed Helm	1			100					4	"helm,nor,nos"	r08	r10	gpb				useitem				sock			1	6																																																																															0
1 Tal Rune + 1 Amn Rune + 1 Perfect Ruby + 1 Normal Shield -> Socketed Shield	1			100					4	"shld,nor,nos"	r07	r11	gpr				useitem				sock			1	6																																																																															0
MAGIC ITEM SOCKETING	0																																																																																																							0
3 Perfect Gems (Any) + 1 Magic Weapon -> Socketed Magic Weapon	0			0					4	"weap,mag"	"gem4,qty=3"						"usetype,mag"	25		50	sock			2	2																																																																															0
3 Perfect Gems + 1 Socketed Weapon ->  Socketed Magic Weapon	1			0					4	"weap,sock"	"gem4,qty=3"						"usetype,mag"	30		60	sock			2	2																																																																															0
3 Perfect Gems + 1 Magic Weapon -> Socketed Magic Weapon	1			0					4	"weap,mag"	"gem4,qty=3"						"usetype,mag"	30		60	sock			2	2																																																																															0
RARE ITEM SOCKETING	0																																																																																																							0
3 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> Add 1 Socket to Rare Item	1			0					5	"any,rar,nos"	"skz,qty=3"	The Stone of Jordan					"useitem,sock=1"																																																																																							0
REMOVE SOCKETS	0																																																																																																							0
1 Hel Rune + Scroll of Town Portal + 1 Socketed Item -> Clear Sockets on Item (Destroys Socketables)	1			100					3	"any,sock"	r15	tsc					"useitem,uns"																																																																																							0
1 Zod Rune + Scroll of Town Portal + 1 Socketed Item -> Clear Sockets on Item (Keeps Socketables)	1			100					3	"any,sock"	r33	tsc					"useitem,rem"																																																																																							0
NORMAL ITEM LOWQ -> NORM	0																																																																																																							0
1 Eld Rune + 1 Perfect Gem (Any) + 1 Low Quality Weapon -> Normal Weapon	1			100					3	"weap,low"	r02	gem4					"usetype,nor"																																																																																							0
1 El Rune + 1 Perfect Gem (Any) + 1 Low Quality Armor -> Normal Armor	1			100					3	"armo,low"	r01	gem4					"usetype,nor"																																																																																							0
UNIQUE ITEM UPTIER	0																																																																																																							0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Basic Unique Weapon -> Exceptional Unique Weapon	1			100					4	"weap,bas,uni"	"r08,qty=1"	"r12,qty=1"	"gpg,qty=1"				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Basic Unique Armor -> Exceptional Unique Armor	1			100					4	"armo,bas,uni"	"r07,qty=1"	"r13,qty=1"	"gpw,qty=1"				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Unique Weapon -> Elite Unique Weapon	1			100					4	"weap,exc,uni"	"r17,qty=1"	"r21,qty=1"	"gpg,qty=1"				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Unique Armor -> Elite Unique Armor	1			100					4	"armo,exc,uni"	"r18,qty=1"	"r20,qty=1"	"gpw,qty=1"				"useitem,mod,eli"				levelreq			7	7																																																																															0
RARE ITEM UPTIER	0																																																																																																							0
1 Ort Rune + 1 Amn Rune + 1 Perfect Sapphire + 1 Basic Rare Weapon -> Exceptional Rare Weapon	1			100					4	"weap,bas,rar"	"r09,qty=1"	"r11,qty=1"	"gpb,qty=1"				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Amethyst + 1 Basic Rare Armor -> Exceptional Rare Armor	1			100					4	"armo,bas,rar"	"r08,qty=1"	"r10,qty=1"	"gpv,qty=1"				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Fal Rune + 1 Um Rune + 1 Perfect Sapphire + 1 Exceptional Rare Weapon -> Elite Rare Weapon	1			100					4	"weap,exc,rar"	"r19,qty=1"	"r22,qty=1"	"gpb,qty=1"				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Pul Rune + 1 Perfect Amethyst + 1 Exceptional Rare Armor -> Elite Rare Armor	1			100					4	"armo,exc,rar"	"r18,qty=1"	"r21,qty=1"	"gpv,qty=1"				"useitem,mod,eli"				levelreq			7	7																																																																															0
CRAFTED ITEM UPTIER	0																																																																																																							0
1 Ort Rune + 1 Amn Rune + 1 Perfect Sapphire + 1 Basic Crafted Weapon -> Exceptional Crafted Weapon	1			100					4	"weap,bas,crf"	"r09,qty=1"	"r11,qty=1"	"gpb,qty=1"				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Amethyst + 1 Basic Crafted Armor -> Exceptional Crafted Armor	1			100					4	"armo,bas,crf"	"r08,qty=1"	"r10,qty=1"	"gpv,qty=1"				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Fal Rune + 1 Um Rune + 1 Perfect Sapphire + 1 Exceptional Crafted Weapon -> Elite Crafted Weapon	1			100					4	"weap,exc,crf"	"r19,qty=1"	"r22,qty=1"	"gpb,qty=1"				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Pul Rune + 1 Perfect Amethyst + 1 Excetptional Crafted Armor -> Elite Crafted Armor	1			100					4	"armo,exc,crf"	"r18,qty=1"	"r21,qty=1"	"gpv,qty=1"				"useitem,mod,eli"				levelreq			7	7																																																																															0
SET ITEM UPTIER	0																																																																																																							0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Basic Set Weapon -> Exceptional Set Weapon	1			100					4	"weap,bas,set"	"r08,qty=1"	"r12,qty=1"	"gpg,qty=1"				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Basic Set Armor -> Exceptional Set Armor	1			100					4	"armo,bas,set"	"r07,qty=1"	"r13,qty=1"	"gpw,qty=1"				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Set Weapon -> Elite Set Weapon	1			100					4	"weap,exc,set"	"r17,qty=1"	"r21,qty=1"	"gpg,qty=1"				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Set Armor -> Elite Set Armor	1			100					4	"armo,exc,set"	"r18,qty=1"	"r20,qty=1"	"gpw,qty=1"				"useitem,mod,eli"				levelreq			7	7																																																																															0
GEM UPTIER	0																																																																																																							0
3 Chipped Amethysts -> Flawed Amethyst	1			0					3	"gcv,qty=3"							gfv																																																																																							0
3 Flawed Amethysts -> Standard Amethyst	1			0					3	"gfv,qty=3"							gsv																																																																																							0
3 Standard Amethysts -> Flawless Amethyst	1			0					3	"gsv,qty=3"							gzv																																																																																							0
3 Flawless Amethysts -> Perfect Amethyst	1			0					3	"gzv,qty=3"							gpv																																																																																							0
3 Chipped Rubies -> Flawed Ruby	1			0					3	"gcr,qty=3"							gfr																																																																																							0
3 Flawed Rubies -> Standard Ruby	1			0					3	"gfr,qty=3"							gsr																																																																																							0
3 Standard Rubies -> Flawless Ruby	1			0					3	"gsr,qty=3"							glr																																																																																							0
3 Flawless Rubies -> Perfect Ruby	1			0					3	"glr,qty=3"							gpr																																																																																							0
3 Chipped Sapphires -> Flawed Sapphire	1			0					3	"gcb,qty=3"							gfb																																																																																							0
3 Flawed Sapphires -> Standard Sapphire	1			0					3	"gfb,qty=3"							gsb																																																																																							0
3 Standard Sapphires -> Flawless Sapphire	1			0					3	"gsb,qty=3"							glb																																																																																							0
3 Flawless Sapphires -> Perfect Sapphire	1			0					3	"glb,qty=3"							gpb																																																																																							0
3 Chipped Topazes -> Flawed Topaz	1			0					3	"gcy,qty=3"							gfy																																																																																							0
3 Flawed Topazes -> Standard Topaz	1			0					3	"gfy,qty=3"							gsy																																																																																							0
3 Standard Topazes -> Flawless Topaz	1			0					3	"gsy,qty=3"							gly																																																																																							0
3 Flawless Topazes -> Perfect Topaz	1			0					3	"gly,qty=3"							gpy																																																																																							0
3 Chipped Emeralds -> Flawed Emerald	1			0					3	"gcg,qty=3"							gfg																																																																																							0
3 Flawed Emeralds -> Standard Emerald	1			0					3	"gfg,qty=3"							gsg																																																																																							0
3 Standard Emeralds -> Flawless Emerald	1			0					3	"gsg,qty=3"							glg																																																																																							0
3 Flawless Emeralds -> Perfect Emerald	1			0					3	"glg,qty=3"							gpg																																																																																							0
3 Chipped Diamonds -> Flawed Diamond	1			0					3	"gcw,qty=3"							gfw																																																																																							0
3 Flawed Diamonds -> Standard Diamond	1			0					3	"gfw,qty=3"							gsw																																																																																							0
3 Standard Diamonds -> Flawless Diamond	1			0					3	"gsw,qty=3"							glw																																																																																							0
3 Flawless Diamonds -> Perfect Diamond	1			0					3	"glw,qty=3"							gpw																																																																																							0
3 Chipped Skulls -> Flawed Skull	1			0					3	"skc,qty=3"							skf																																																																																							0
3 Flawed Skulls -> Standard Skull	1			0					3	"skf,qty=3"							sku																																																																																							0
3 Standard Skulls -> Flawless Skull	1			0					3	"sku,qty=3"							skl																																																																																							0
3 Flawless Skulls -> Perfect Skull	1			0					3	"skl,qty=3"							skz																																																																																							0
OBSIDIAN UPTIER	0																																																																																																							0
All Standard Gems --> Flawless Obsidian	1			100					7	sku	gsw	gsg	gsy	gsb	gsr	gsv	fod																																																																																							0
3 Flawless Obsidian --> Perfect Obsidian	1			100					3	"fod,qty=3"							pod																																																																																							0
RUNE UPTIER	0																																																																																																							0
3 El Runes -> Eld Rune	1			100					3	"r01,qty=3"							r02																																																																																							0
3 Eld Runes -> Tir Rune	1			100					3	"r02,qty=3"							r03																																																																																							0
3 Tir Runes -> Nef Rune	1			100					3	"r03,qty=3"							r04																																																																																							0
3 Nef Runes -> Eth Rune	1			100					3	"r04,qty=3"							r05																																																																																							0
3 Eth Runes -> Ith Rune	1			100					3	"r05,qty=3"							r06																																																																																							0
3 Ith Runes -> Tal Rune	1			100					3	"r06,qty=3"							r07																																																																																							0
3 Tal Runes -> Ral Rune	1			100					3	"r07,qty=3"							r08																																																																																							0
3 Ral Runes -> Ort Rune	1			100					3	"r08,qty=3"							r09																																																																																							0
3 Ort Runes -> Thul Rune	1			100					3	"r09,qty=3"							r10																																																																																							0
3 Thul Runes -> Amn Rune	1			100					3	"r10,qty=3"							r11																																																																																							0
3 Amn Runes -> Sol Rune	1			100					3	"r11,qty=3"							r12																																																																																							0
3 Sol Runes -> Shael Rune	1			100					3	"r12,qty=3"							r13																																																																																							0
3 Shael Runes -> Dol Rune	1			100					3	"r13,qty=3"							r14																																																																																							0
3 Dol Runes -> Hel Rune	1			100					3	"r14,qty=3"							r15																																																																																							0
3 Hel Runes -> Io Rune	1			100					3	"r15,qty=3"							r16																																																																																							0
3 Io Runes -> Lum Rune	1			100					3	"r16,qty=3"							r17																																																																																							0
3 Lum Runes -> Ko Rune	1			100					3	"r17,qty=3"							r18																																																																																							0
3 Ko Runes -> Fal Rune	1			100					3	"r18,qty=3"							r19																																																																																							0
3 Fal Runes-> Lem Rune	1			100					3	"r19,qty=3"							r20																																																																																							0
3 Lem Runes -> Pul Rune	1			100					3	"r20,qty=3"							r21																																																																																							0
2 Pul Runes -> Um Rune	1			100					2	"r21,qty=2"							r22																																																																																							0
2 Um Runes -> Mal Rune	1			100					2	"r22,qty=2"							r23																																																																																							0
2 Mal Runes -> Ist Rune	1			100					2	"r23,qty=2"							r24																																																																																							0
2 Ist Runes -> Gul Rune	1			100					2	"r24,qty=2"							r25																																																																																							0
2 Gul Runes -> Vex Rune	1			100					2	"r25,qty=2"							r26																																																																																							0
2 Vex Runes -> Ohm Rune	1			100					2	"r26,qty=2"							r27																																																																																							0
2 Ohm Runes -> Lo Rune	1			100					2	"r27,qty=2"							r28																																																																																							0
2 Lo Runes -> Sur Rune	1			100					2	"r28,qty=2"							r29																																																																																							0
2 Sur Runes -> Ber Rune	1			100					2	"r29,qty=2"							r30																																																																																							0
2 Ber Runes -> Jah Rune	1			100					2	"r30,qty=2"							r31																																																																																							0
2 Jah Runes -> Cham Rune	1			100					2	"r31,qty=2"							r32																																																																																							0
2 Cham Runes -> Zod Rune	1			100					2	"r32,qty=2"							r33																																																																																							0
RUNE DOWNGRADE	0																																																																																																							0
1 Eld Rune + 1 Key-> El Rune	0			100					2	r02	key						useitem																													r01																													key																													0
1 Tir Rune + 1 Key-> Eld Rune	0			100					2	r03	key						useitem																													r02																													key																													0
1 Nef Rune + 1 Key-> Tir Rune	0			100					2	r04	key						useitem																													r03																													key																													0
1 Eth Rune + 1 Key-> Nef Rune	0			100					2	r05	key						useitem																													r04																													key																													0
1 Ith Rune + 1 Key-> Eth Rune	0			100					2	r06	key						useitem																													r05																													key																													0
1 Tal Rune + 1 Key-> Ith Rune	0			100					2	r07	key						useitem																													r06																													key																													0
1 Ral Rune + 1 Key-> Tal Rune	0			100					2	r08	key						useitem																													r07																													key																													0
1 Ort Rune + 1 Key-> Ral Rune	0			100					2	r09	key						useitem																													r08																													key																													0
1 Thul Rune + 1 Key -> Ort Rune	0			100					2	r10	key						useitem																													r09																													key																													0
1 Amn Rune + 1 Key -> Thul Rune	0			100					2	r11	key						useitem																													r10																													key																													0
1 Sol Rune + 1 Key -> Amn Rune	0			100					2	r12	key						useitem																													r11																													key																													0
1 Shael Rune + 1 Key -> Sol Rune	0			100					2	r13	key						useitem																													r12																													key																													0
1 Dol Rune + 1 Key -> Shael Rune	0			100					2	r14	key						useitem																													r13																													key																													0
1 Hel Rune + 1 Key -> Dol Rune	0			100					2	r15	key						useitem																													r14																													key																													0
1 Io Rune + 1 Key -> Hel Rune	0			100					2	r16	key						useitem																													r15																													key																													0
1 Lum Rune + 1 Key -> Io Rune	0			100					2	r17	key						useitem																													r16																													key																													0
1 Ko Rune + 1 Key -> Lum Rune	0			100					2	r18	key						useitem																													r17																													key																													0
1 Fal Rune + 1 Key -> Ko Rune	0			100					2	r19	key						useitem																													r18																													key																													0
1 Lem Rune + 1 Key -> Fal Rune	0			100					2	r20	key						useitem																													r19																													key																													0
1 Pul Rune + 1 Key -> Lem Rune	0			100					2	r21	key						useitem																													r20																													key																													0
1 Um Rune + 1 Key -> Pul Rune	0			100					2	r22	key						useitem																													r21																													key																													0
1 Mal Rune + 1 Key -> Um Rune	0			100					2	r23	key						useitem																													r22																													key																													0
1 Ist Rune + 1 Key -> Mal Rune	0			100					2	r24	key						useitem																													r23																													key																													0
1 Gul Rune + 1 Key -> Ist Rune	0			100					2	r25	key						useitem																													r24																													key																													0
1 Vex Rune + 1 Key -> Gul Rune	0			100					2	r26	key						useitem																													r25																													key																													0
1 Ohm Rune + 1 Key -> Vex Rune	0			100					2	r27	key						useitem																													r26																													key																													0
1 Lo Rune + 1 Key -> Ohm Rune	0			100					2	r28	key						useitem																													r27																													key																													0
1 Sur Rune + 1 Key -> Lo Rune	0			100					2	r29	key						useitem																													r28																													key																													0
1 Ber Rune + 1 Key -> Sur Rune	0			100					2	r30	key						useitem																													r29																													key																													0
1 Jah Rune + 1 Key -> Ber Rune	0			100					2	r31	key						useitem																													r30																													key																													0
1 Cham Rune + 1 Key -> Jah Rune	0			100					2	r32	key						useitem																													r31																													key																													0
1 Zod  Rune + 1 Key -> Cham Rune	0			100					2	r33	key						useitem																													r32																													key																													0
RUNE STACK UPTIER	0																																																																																																							0
Full stack of El -> stack of Eld x 17	1			100	18	70	50		2	s01	ood						"s02,qty=17"																																																																																							0
Full stack of Eld -> stack of Tir x 17	1			100	18	70	50		2	s02	ood						"s03,qty=17"																																																																																							0
Full stack of Tir -> stack of Nef x 17	1			100	18	70	50		2	s03	ood						"s04,qty=17"																																																																																							0
Full stack of Nef -> stack of Eth x 17	1			100	18	70	50		2	s04	ood						"s05,qty=17"																																																																																							0
Full stack of Eth -> stack of Ith x 17	1			100	18	70	50		2	s05	ood						"s06,qty=17"																																																																																							0
Full stack of Ith -> stack of Tal x 17	1			100	18	70	50		2	s06	ood						"s07,qty=17"																																																																																							0
Full stack of Tal -> stack of Ral x 17	1			100	18	70	50		2	s07	ood						"s08,qty=17"																																																																																							0
Full stack of Ral -> stack of Ort x 17	1			100	18	70	50		2	s08	ood						"s09,qty=17"																																																																																							0
Full stack of Ort -> stack of Thul x 17	1			100	18	70	50		2	s09	ood						"s10,qty=17"																																																																																							0
Full stack of Thul -> stack of Amn x 17	1			100	18	70	50		2	s10	ood						"s11,qty=17"																																																																																							0
Full stack of Amn -> stack of Sol x 17	1			100	18	70	50		2	s11	ood						"s12,qty=17"																																																																																							0
Full stack of Sol -> stack of Shael x 17	1			100	18	70	50		2	s12	ood						"s13,qty=17"																																																																																							0
Full stack of Shael -> stack of Dol x 17	1			100	18	70	50		2	s13	ood						"s14,qty=17"																																																																																							0
Full stack of Dol -> stack of Hel x 17	1			100	18	70	50		2	s14	ood						"s15,qty=17"																																																																																							0
Full stack of Hel -> stack of Io x 17	1			100	18	70	50		2	s15	ood						"s16,qty=17"																																																																																							0
Full stack of Io -> stack of Lum x 17	1			100	18	70	50		2	s16	ood						"s17,qty=17"																																																																																							0
Full stack of Lum -> stack of Ko x 17	1			100	18	70	50		2	s17	ood						"s18,qty=17"																																																																																							0
Full stack of Ko -> stack of Fal x 17	1			100	18	70	50		2	s18	ood						"s19,qty=17"																																																																																							0
Full stack of Fal -> stack of Lem x 17	1			100	18	70	50		2	s19	ood						"s20,qty=17"																																																																																							0
Full stack of Lem -> stack of Pul x 17	1			100	18	70	50		2	s20	ood						"s21,qty=17"																																																																																							0
Full stack of Pul -> stack of Um x 26	1			100	18	70	50		2	s21	ood						"s22,qty=26"																																																																																							0
Full stack of Um -> stack of Mal x 26	1			100	18	70	50		2	s22	ood						"s23,qty=26"																																																																																							0
Full stack of Mal -> stack of Ist x 26	1			100	18	70	50		2	s23	ood						"s24,qty=26"																																																																																							0
Full stack of Ist -> stack of Gul x 26	1			100	18	70	50		2	s24	ood						"s25,qty=26"																																																																																							0
Full stack of Gul -> stack of Vex x 26	1			100	18	70	50		2	s25	ood						"s26,qty=26"																																																																																							0
Full stack of Vex -> stack of Ohm x 26	1			100	18	70	50		2	s26	ood						"s27,qty=26"																																																																																							0
Full stack of Ohm -> stack of Lo x 26	1			100	18	70	50		2	s27	ood						"s28,qty=26"																																																																																							0
Full stack of Lo -> stack of Sur x 26	1			100	18	70	50		2	s28	ood						"s29,qty=26"																																																																																							0
Full stack of Sur -> stack of Ber x 26	1			100	18	70	50		2	s29	ood						"s30,qty=26"																																																																																							0
Full stack of Ber -> stack of Jah x 26	1			100	18	70	50		2	s30	ood						"s31,qty=26"																																																																																							0
Full stack of Jah -> stack of Cham x 26	1			100	18	70	50		2	s31	ood						"s32,qty=26"																																																																																							0
Full stack of Cham -> stack of Zod x 26	1			100	18	70	50		2	s32	ood						"s33,qty=26"																																																																																							0
GEMS STACKING	0																																																																																																							0
Chipped Amethyst Unstack	0			0	18	70	1		1	8ca							gcv																																																																																							0
