Log started at Thu Sep 21 2023 22:17:32 GMT+0200 (Centraleuropæisk sommertid)
WARN	Basic/NoDuplicateExcel	itemtypes.txt - duplicate detected on lines 93 and 238 for field 'code' (ncha)
WARN	Cube/ValidInputs	cubemain.txt, line 3241: couldn't find 'boot,mag,noe' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Eth Rune + Perfect Ruby -> Blood Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3242: couldn't find 'boot,mag,eth' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Eth Rune + Perfect Ruby -> Blood Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3242: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Eth Rune + Perfect Ruby -> Blood Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3242: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Eth Rune + Perfect Ruby -> Blood Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3243: couldn't find 'boot,mag,eth' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Eth Rune + Perfect Ruby -> Blood Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3244: couldn't find 'glov,mag,noe' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Nef Rune + Perfect Ruby -> Blood Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3244: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Nef Rune + Perfect Ruby -> Blood Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3244: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Nef Rune + Perfect Ruby -> Blood Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3245: couldn't find 'glov,mag,noe' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Nef Rune + Perfect Ruby -> Blood Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3246: couldn't find 'glov,mag,eth' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Nef Rune + Perfect Ruby -> Blood Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3246: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Nef Rune + Perfect Ruby -> Blood Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3246: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Nef Rune + Perfect Ruby -> Blood Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3247: couldn't find 'glov,mag,eth' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Nef Rune + Perfect Ruby -> Blood Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3248: couldn't find 'belt,mag,noe' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Ruby -> Blood Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3248: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Ruby -> Blood Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3248: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Ruby -> Blood Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3249: couldn't find 'belt,mag,noe' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Ruby -> Blood Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3250: couldn't find 'belt,mag,eth' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Ruby -> Blood Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3250: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Ruby -> Blood Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3250: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Ruby -> Blood Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3251: couldn't find 'belt,mag,eth' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Ruby -> Blood Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3252: couldn't find 'shld,mag,noe' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Ruby -> Blood Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3252: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Ruby -> Blood Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3252: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Ruby -> Blood Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3253: couldn't find 'shld,mag,noe' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Ruby -> Blood Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3254: couldn't find 'shld,mag,eth' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Ruby -> Blood Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3254: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Ruby -> Blood Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3254: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Ruby -> Blood Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3255: couldn't find 'shld,mag,eth' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Ith Rune + Perfect Ruby -> Blood Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3256: couldn't find 'tors,mag,noe' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Thul Rune + Perfect Ruby -> Blood Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3256: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Thul Rune + Perfect Ruby -> Blood Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3256: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Thul Rune + Perfect Ruby -> Blood Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3257: couldn't find 'tors,mag,noe' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Thul Rune + Perfect Ruby -> Blood Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3258: couldn't find 'tors,mag,eth' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Thul Rune + Perfect Ruby -> Blood Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3258: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Thul Rune + Perfect Ruby -> Blood Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3258: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Thul Rune + Perfect Ruby -> Blood Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3259: couldn't find 'tors,mag,eth' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Thul Rune + Perfect Ruby -> Blood Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3260: couldn't find 'amul,mag' for input 1 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Amn Rune + Perfect Ruby -> Blood Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3260: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Amn Rune + Perfect Ruby -> Blood Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3260: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Amn Rune + Perfect Ruby -> Blood Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3261: couldn't find 'amul,mag' for input 1 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Amn Rune + Perfect Ruby -> Blood Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3262: couldn't find 'ring,mag' for input 1 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Sol Rune + Perfect Ruby -> Blood Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3262: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Sol Rune + Perfect Ruby -> Blood Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3262: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Sol Rune + Perfect Ruby -> Blood Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3263: couldn't find 'ring,mag' for input 1 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Sol Rune + Perfect Ruby -> Blood Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3264: couldn't find 'weap,mag,noe' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Ort Rune + Perfect Ruby -> Blood Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3264: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Ort Rune + Perfect Ruby -> Blood Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3264: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Ort Rune + Perfect Ruby -> Blood Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3265: couldn't find 'weap,mag,noe' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Ort Rune + Perfect Ruby -> Blood Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3266: couldn't find 'weap,mag,eth' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Ort Rune + Perfect Ruby -> Blood Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3266: couldn't find 'r06,qty=1' for input 3 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Ort Rune + Perfect Ruby -> Blood Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3266: couldn't find 'gpr,qty=1' for input 4 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Ort Rune + Perfect Ruby -> Blood Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3267: couldn't find 'weap,mag,eth' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Ort Rune + Perfect Ruby -> Blood Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3269: couldn't find 'circ,rar,noe' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Nef Rune + Perfect Amethyst -> Caster Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3269: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Nef Rune + Perfect Amethyst -> Caster Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3269: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Nef Rune + Perfect Amethyst -> Caster Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3270: couldn't find 'circ,rar,noe' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Nef Rune + Perfect Amethyst -> Caster Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3271: couldn't find 'circ,rar,eth' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Nef Rune + Perfect Amethyst -> Caster Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3271: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Nef Rune + Perfect Amethyst -> Caster Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3271: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Nef Rune + Perfect Amethyst -> Caster Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3272: couldn't find 'circ,rar,eth' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Nef Rune + Perfect Amethyst -> Caster Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3273: couldn't find 'boot,mag,noe' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Thul Rune + Perfect Amethyst -> Caster Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3273: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Thul Rune + Perfect Amethyst -> Caster Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3273: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Thul Rune + Perfect Amethyst -> Caster Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3274: couldn't find 'boot,mag,noe' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Thul Rune + Perfect Amethyst -> Caster Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3275: couldn't find 'boot,mag,eth' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Thul Rune + Perfect Amethyst -> Caster Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3275: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Thul Rune + Perfect Amethyst -> Caster Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3275: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Thul Rune + Perfect Amethyst -> Caster Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3276: couldn't find 'boot,mag,eth' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Thul Rune + Perfect Amethyst -> Caster Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3277: couldn't find 'glov,mag,noe' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Amethyst -> Caster Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3277: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Amethyst -> Caster Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3277: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Amethyst -> Caster Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3278: couldn't find 'glov,mag,noe' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Amethyst -> Caster Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3279: couldn't find 'glov,mag,eth' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Amethyst -> Caster Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3279: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Amethyst -> Caster Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3279: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Amethyst -> Caster Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3280: couldn't find 'glov,mag,eth' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ort Rune + Perfect Amethyst -> Caster Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3281: couldn't find 'belt,mag,noe' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Ith Rune + Perfect Amethyst -> Caster Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3281: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Ith Rune + Perfect Amethyst -> Caster Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3281: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Ith Rune + Perfect Amethyst -> Caster Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3282: couldn't find 'belt,mag,noe' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Ith Rune + Perfect Amethyst -> Caster Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
